teamId,team,teamNationality,url
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber_Motorsport
jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing
jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing
prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix
arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi
benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing
super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1
spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing
spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team
